Region,Country,Item Type,Sales Channel,Order ID,Units Sold,Unit Price,Unit Cost,Total Profit
Central America and the Caribbean,Antigua and Barbuda ,Snacks,Offline,382594001,6922,152.58,97.44,381679.08
Europe,Liechtenstein,Household,Online,679108560,2169,668.27,502.54,359468.37
Sub-Saharan Africa,Equatorial Guinea,Beverages,Online,947456920,2412,47.45,31.79,37771.92
Europe,Lithuania,Personal Care,Offline,129875409,1875,81.73,56.67,46987.5
Central America and the Caribbean,Panama,Baby Food,Offline,838912856,1811,255.28,159.42,173602.46
North America,United States of America,Beverages,Offline,807430589,5509,47.45,31.79,86270.94
Sub-Saharan Africa,Angola,Office Supplies,Online,538602435,3284,651.21,524.96,414605
Europe,Ireland,Fruits,Offline,155914723,7486,9.33,6.92,18041.26
Europe,Spain,Fruits,Online,753166282,7495,9.33,6.92,18062.95
Sub-Saharan Africa,Chad,Baby Food,Online,344468438,4721,255.28,159.42,452555.06
Asia,Malaysia,Cosmetics,Offline,614245021,7606,437.2,263.33,1322455.22
Central America and the Caribbean,Belize,Fruits,Online,167232358,6626,9.33,6.92,15968.66
Central America and the Caribbean,Antigua and Barbuda ,Snacks,Online,378479278,9284,152.58,97.44,511919.76
Europe,Andorra,Cereal,Offline,443347108,5116,205.7,117.11,453226.44
Europe,Iceland,Office Supplies,Online,527509677,691,651.21,524.96,87238.75
Europe,Ireland,Beverages,Offline,416953313,4606,47.45,31.79,72129.96
Middle East and North Africa,Libya,Beverages,Online,867976844,2491,47.45,31.79,39009.06
Sub-Saharan Africa,Burkina Faso,Vegetables,Offline,457191598,2008,154.06,90.93,126765.04
Australia and Oceania,Solomon Islands,Fruits,Offline,531521403,7850,9.33,6.92,18918.5
Middle East and North Africa,Oman,Office Supplies,Online,258202588,6738,651.21,524.96,850672.5
Sub-Saharan Africa,Sierra Leone,Snacks,Online,674783980,2430,152.58,97.44,133990.2
Europe,Bosnia and Herzegovina,Cereal,Online,639126908,710,205.7,117.11,62898.9
Europe,Belarus,Beverages,Online,879405200,4396,47.45,31.79,68841.36
Europe,Slovenia,Beverages,Offline,844105184,8337,47.45,31.79,130557.42
Australia and Oceania,Kiribati,Household,Offline,952025687,4412,668.27,502.54,731200.76
Central America and the Caribbean,Costa Rica,Office Supplies,Online,342278039,6533,651.21,524.96,824791.25
Sub-Saharan Africa,Democratic Republic of the Congo,Clothes,Online,924286067,5642,109.28,35.84,414348.48
Central America and the Caribbean,Grenada,Clothes,Offline,627786099,4712,109.28,35.84,346049.28
Sub-Saharan Africa,Mozambique,Household,Online,152826964,3750,668.27,502.54,621487.5
Sub-Saharan Africa,Sudan,Household,Online,719769990,4790,668.27,502.54,793846.7
Sub-Saharan Africa,Benin,Snacks,Online,919289004,6900,152.58,97.44,380466
Australia and Oceania,Palau,Baby Food,Online,762370336,1179,255.28,159.42,113018.94
Australia and Oceania,Fiji,Cosmetics,Online,330312812,5756,437.2,263.33,1000795.72
Central America and the Caribbean,Saint Lucia,Cereal,Online,224727761,793,205.7,117.11,70251.87
North America,Mexico,Meat,Online,217539012,3483,421.89,364.69,199227.6
Australia and Oceania,Samoa ,Baby Food,Online,600982892,3048,255.28,159.42,292181.28
Sub-Saharan Africa,Botswana,Vegetables,Online,837608230,5744,154.06,90.93,362618.72
Middle East and North Africa,Turkey,Clothes,Offline,910276353,9856,109.28,35.84,723824.64
Sub-Saharan Africa,Ethiopia,Snacks,Offline,872161090,703,152.58,97.44,38763.42
Asia,Kazakhstan,Beverages,Offline,396748769,5632,47.45,31.79,88197.12
Europe,Netherlands,Fruits,Offline,127838218,9024,9.33,6.92,21747.84
Asia,Uzbekistan,Beverages,Online,329540765,7290,47.45,31.79,114161.4
Sub-Saharan Africa,Cameroon,Fruits,Offline,436280238,3872,9.33,6.92,9331.52
Central America and the Caribbean,Cuba,Baby Food,Offline,402792966,4244,255.28,159.42,406829.84
Sub-Saharan Africa,Angola,Vegetables,Online,254127776,911,154.06,90.93,57511.43
Sub-Saharan Africa,Burkina Faso,Beverages,Online,535645997,8409,47.45,31.79,131684.94
Sub-Saharan Africa,Kenya,Clothes,Offline,963021457,8304,109.28,35.84,609845.76
Australia and Oceania,Tonga,Office Supplies,Online,872240483,4197,651.21,524.96,529871.25
Sub-Saharan Africa,Democratic Republic of the Congo,Household,Offline,569601905,6716,668.27,502.54,1113042.68
Europe,Belgium,Snacks,Online,881717050,8524,152.58,97.44,470013.36
Europe,Macedonia,Household,Offline,905509746,9311,668.27,502.54,1543112.03
Sub-Saharan Africa,Botswana,Office Supplies,Online,258216321,802,651.21,524.96,101252.5
Asia,Japan,Meat,Offline,427385604,1752,421.89,364.69,100214.4
Europe,Liechtenstein,Baby Food,Online,720878922,2948,255.28,159.42,282595.28
Asia,Brunei,Fruits,Offline,516870105,2205,9.33,6.92,5314.05
Asia,Japan,Fruits,Offline,613845479,9373,9.33,6.92,22588.93
Asia,Cambodia,Cereal,Offline,980603873,1332,205.7,117.11,118001.88
Europe,Italy,Personal Care,Offline,306256616,6993,81.73,56.67,175244.58
Australia and Oceania,Samoa ,Household,Offline,950227534,2298,668.27,502.54,380847.54
Europe,Spain,Cereal,Offline,392252957,5222,205.7,117.11,462616.98
Asia,Kyrgyzstan,Personal Care,Online,682381713,768,81.73,56.67,19246.08
Sub-Saharan Africa,Benin,Clothes,Online,790975129,5973,109.28,35.84,438657.12
Sub-Saharan Africa,Chad,Cosmetics,Offline,658707034,4904,437.2,263.33,852658.48
Europe,Norway,Cosmetics,Offline,746563756,3661,437.2,263.33,636538.07
Central America and the Caribbean,Cuba,Fruits,Offline,685844123,5372,9.33,6.92,12946.52
Central America and the Caribbean,Saint Vincent and the Grenadines,Clothes,Offline,628159463,5199,109.28,35.84,381814.56
Central America and the Caribbean,Haiti,Snacks,Online,795433604,5335,152.58,97.44,294171.9
Europe,Bulgaria,Household,Online,129902875,2,668.27,502.54,331.46
Australia and Oceania,Samoa ,Office Supplies,Offline,344116103,457,651.21,524.96,57696.25
Sub-Saharan Africa,Equatorial Guinea,Snacks,Online,970934617,9984,152.58,97.44,550517.76
Asia,Philippines,Cereal,Online,713532245,8902,205.7,117.11,788628.18
Europe,San Marino,Beverages,Offline,595395314,9559,47.45,31.79,149693.94
Central America and the Caribbean,Trinidad and Tobago,Cereal,Offline,810322654,1335,205.7,117.11,118267.65
Europe,Denmark,Fruits,Online,272425591,5641,9.33,6.92,13594.81
Central America and the Caribbean,Costa Rica,Cereal,Offline,666127955,920,205.7,117.11,81502.8
Europe,Germany,Baby Food,Offline,596166074,7644,255.28,159.42,732753.84
Asia,India,Personal Care,Offline,537588775,3320,81.73,56.67,83199.2
Sub-Saharan Africa,Sao Tome and Principe,Cereal,Offline,585757386,7482,205.7,117.11,662830.38
Europe,Netherlands,Beverages,Offline,906345736,6699,47.45,31.79,104906.34
Europe,Germany,Cosmetics,Offline,385340154,9569,437.2,263.33,1663762.03
Europe,Sweden,Cosmetics,Offline,679039466,1723,437.2,263.33,299578.01
Sub-Saharan Africa,Cameroon,Household,Offline,364055001,820,668.27,502.54,135898.6
Asia,Tajikistan,Baby Food,Online,787310588,1554,255.28,159.42,148966.44
Sub-Saharan Africa,Swaziland,Clothes,Online,216042554,647,109.28,35.84,47515.68
Europe,San Marino,Baby Food,Offline,587799727,1856,255.28,159.42,177916.16
Middle East and North Africa,United Arab Emirates,Fruits,Online,760443437,966,9.33,6.92,2328.06
Asia,Bangladesh,Office Supplies,Offline,562147510,795,651.21,524.96,100368.75
Europe,Georgia,Snacks,Offline,341398274,6191,152.58,97.44,341371.74
Europe,Greece,Fruits,Offline,516994559,9034,9.33,6.92,21771.94
Australia and Oceania,Papua New Guinea,Beverages,Offline,228047692,3235,47.45,31.79,50660.1
Europe,Slovenia,Office Supplies,Online,483981502,9736,651.21,524.96,1229170
Middle East and North Africa,Azerbaijan,Clothes,Offline,114532315,1512,109.28,35.84,111041.28
Central America and the Caribbean,Barbados,Fruits,Offline,719748961,8567,9.33,6.92,20646.47
Middle East and North Africa,Oman,Cereal,Online,819992768,2937,205.7,117.11,260188.83
Asia,Bhutan,Cosmetics,Offline,805937564,3690,437.2,263.33,641580.3
Sub-Saharan Africa,Chad,Personal Care,Online,688569676,1924,81.73,56.67,48215.44
Europe,Slovakia,Cosmetics,Online,549187934,5769,437.2,263.33,1003056.03
Europe,Macedonia,Clothes,Online,989403665,5386,109.28,35.84,395547.84
Australia and Oceania,Federated States of Micronesia,Baby Food,Online,881140697,7968,255.28,159.42,763812.48
Europe,Lithuania,Household,Online,516635358,2738,668.27,502.54,453768.74
North America,United States of America,Fruits,Online,258436477,5951,9.33,6.92,14341.91
Australia and Oceania,Samoa ,Fruits,Offline,989405381,5894,9.33,6.92,14204.54
Sub-Saharan Africa,Republic of the Congo,Cosmetics,Offline,962715899,7883,437.2,263.33,1370617.21
Sub-Saharan Africa,Botswana,Cosmetics,Offline,751854360,9268,437.2,263.33,1611427.16
Asia,Uzbekistan,Household,Online,100619590,4427,668.27,502.54,733686.71
Europe,Belarus,Clothes,Offline,173122918,9773,109.28,35.84,717729.12
Sub-Saharan Africa,Cote d'Ivoire,Household,Offline,403788173,8748,668.27,502.54,1449806.04
Sub-Saharan Africa,Togo,Fruits,Online,747351682,6825,9.33,6.92,16448.25
Sub-Saharan Africa,Benin,Household,Online,328862273,6510,668.27,502.54,1078902.3
Sub-Saharan Africa,Kenya,Personal Care,Online,593681275,2337,81.73,56.67,58565.22
Europe,Ireland,Beverages,Online,357482516,5875,47.45,31.79,92002.5
Europe,Slovenia,Fruits,Online,756252324,723,9.33,6.92,1742.43
North America,United States of America,Office Supplies,Online,296289527,7510,651.21,524.96,948137.5
Sub-Saharan Africa,Rwanda,Snacks,Online,704205453,8897,152.58,97.44,490580.58
Asia,Myanmar,Cereal,Offline,176923930,4577,205.7,117.11,405476.43
Sub-Saharan Africa,South Africa,Vegetables,Online,131681287,6274,154.06,90.93,396077.62
Middle East and North Africa,Iraq,Fruits,Online,256026351,2742,9.33,6.92,6608.22
Sub-Saharan Africa,Sudan,Snacks,Offline,757820451,4767,152.58,97.44,262852.38
Middle East and North Africa,Tunisia ,Vegetables,Offline,115237414,167,154.06,90.93,10542.71
Europe,Monaco,Clothes,Offline,926763570,8790,109.28,35.84,645537.6
Australia and Oceania,Samoa ,Fruits,Online,461197745,7517,9.33,6.92,18115.97
Europe,Croatia,Household,Online,107651269,5258,668.27,502.54,871408.34
Europe,Andorra,Beverages,Online,425547969,7955,47.45,31.79,124575.3
Central America and the Caribbean,Cuba,Household,Offline,694624173,3584,668.27,502.54,593976.32
Europe,Estonia,Clothes,Offline,264928710,7147,109.28,35.84,524875.68
North America,Greenland,Household,Online,806822907,5683,668.27,502.54,941843.59
Central America and the Caribbean,Costa Rica,Cereal,Offline,460980594,3257,205.7,117.11,288537.63
Sub-Saharan Africa,Cote d'Ivoire,Vegetables,Online,588388097,5968,154.06,90.93,376759.84
Sub-Saharan Africa,Benin,Beverages,Offline,820344245,6947,47.45,31.79,108790.02
Australia and Oceania,New Zealand,Baby Food,Online,408460366,1354,255.28,159.42,129794.44
North America,United States of America,Baby Food,Offline,474660289,1382,255.28,159.42,132478.52
Europe,Andorra,Beverages,Offline,861180341,1255,47.45,31.79,19653.3
Europe,Ireland,Beverages,Offline,580569350,2227,47.45,31.79,34874.82
Australia and Oceania,Tonga,Beverages,Offline,965688645,7585,47.45,31.79,118781.1
Central America and the Caribbean,Grenada,Beverages,Offline,719712054,7645,47.45,31.79,119720.7
Central America and the Caribbean,Panama,Household,Online,866125905,4757,668.27,502.54,788377.61
Sub-Saharan Africa,South Sudan,Cereal,Offline,698729026,8301,205.7,117.11,735385.59
Asia,China,Household,Online,931632745,9687,668.27,502.54,1605426.51
Asia,Vietnam,Cereal,Offline,549260890,7358,205.7,117.11,651845.22
Middle East and North Africa,Libya,Beverages,Online,856349790,1788,47.45,31.79,28000.08
Central America and the Caribbean,Belize,Personal Care,Offline,527948272,481,81.73,56.67,12053.86
Europe,Serbia,Vegetables,Offline,559417665,2973,154.06,90.93,187685.49
Central America and the Caribbean,Cuba,Household,Online,216431796,5833,668.27,502.54,966703.09
Europe,Liechtenstein,Household,Online,184976994,7658,668.27,502.54,1269160.34
Sub-Saharan Africa,Senegal,Personal Care,Offline,321352088,4079,81.73,56.67,102219.74
Sub-Saharan Africa,Ghana,Fruits,Offline,102168405,2756,9.33,6.92,6641.96
Europe,Cyprus,Beverages,Online,874349772,8383,47.45,31.79,131277.78
Central America and the Caribbean,Jamaica,Vegetables,Online,905132520,7681,154.06,90.93,484901.53
Middle East and North Africa,Afghanistan,Vegetables,Offline,332065474,4408,154.06,90.93,278277.04
Europe,Andorra,Household,Online,713009965,4348,668.27,502.54,720594.04
Sub-Saharan Africa,Ghana,Baby Food,Offline,976139819,319,255.28,159.42,30579.34
Europe,Andorra,Baby Food,Online,569941365,7170,255.28,159.42,687316.2
Sub-Saharan Africa,Sao Tome and Principe,Cereal,Online,813213431,6781,205.7,117.11,600728.79
Europe,Malta,Household,Online,845067346,3062,668.27,502.54,507465.26
Europe,Czech Republic,Fruits,Offline,774926936,6956,9.33,6.92,16763.96
Sub-Saharan Africa,Guinea,Beverages,Online,332528531,1437,47.45,31.79,22503.42
Europe,Hungary,Baby Food,Online,217920958,6509,255.28,159.42,623952.74
Central America and the Caribbean,Honduras,Personal Care,Offline,751465547,4209,81.73,56.67,105477.54
Europe,Lithuania,Clothes,Online,523836123,3605,109.28,35.84,264751.2
Europe,Ukraine,Vegetables,Online,446019017,5794,154.06,90.93,365775.22
Asia,Sri Lanka,Office Supplies,Offline,599313056,8906,651.21,524.96,1124382.5
Middle East and North Africa,United Arab Emirates,Personal Care,Online,685329568,3104,81.73,56.67,77786.24
Europe,Luxembourg,Clothes,Online,475992381,5578,109.28,35.84,409648.32
Sub-Saharan Africa,Zambia,Meat,Offline,263537824,5553,421.89,364.69,317631.6
Europe,Serbia,Office Supplies,Offline,410514724,9284,651.21,524.96,1172105
Sub-Saharan Africa,The Gambia,Beverages,Offline,899784409,5057,47.45,31.79,79192.62
Sub-Saharan Africa,Ethiopia,Personal Care,Online,884520709,8189,81.73,56.67,205216.34
Europe,Germany,Personal Care,Offline,938209950,6028,81.73,56.67,151061.68
Sub-Saharan Africa,Swaziland,Fruits,Online,804650962,2956,9.33,6.92,7123.96
Europe,Ukraine,Clothes,Offline,747955071,5382,109.28,35.84,395254.08
Sub-Saharan Africa,Mozambique,Vegetables,Offline,202546107,6749,154.06,90.93,426064.37
Europe,Andorra,Clothes,Offline,923160398,2531,109.28,35.84,185876.64
Sub-Saharan Africa,Equatorial Guinea,Fruits,Online,234846770,5233,9.33,6.92,12611.53
Australia and Oceania,Federated States of Micronesia,Office Supplies,Offline,482966554,9391,651.21,524.96,1185613.75
Asia,Kazakhstan,Fruits,Online,483193576,6572,9.33,6.92,15838.52
Asia,Laos,Vegetables,Online,471514165,374,154.06,90.93,23610.62
Europe,Monaco,Office Supplies,Online,754227149,1429,651.21,524.96,180411.25
Europe,Norway,Baby Food,Offline,357943856,2396,255.28,159.42,229680.56
Sub-Saharan Africa,Mauritius ,Personal Care,Offline,179588115,2969,81.73,56.67,74403.14
Asia,Uzbekistan,Meat,Offline,736396253,4870,421.89,364.69,278564
Europe,Ireland,Cosmetics,Online,815917098,6856,437.2,263.33,1192052.72
Europe,Monaco,Clothes,Offline,626011979,9711,109.28,35.84,713175.84
North America,United States of America,Personal Care,Offline,444854724,1253,81.73,56.67,31400.18
Sub-Saharan Africa,Swaziland,Meat,Offline,170931661,1332,421.89,364.69,76190.4
Australia and Oceania,Tuvalu,Household,Online,673041617,6826,668.27,502.54,1131272.98
Europe,Bosnia and Herzegovina,Baby Food,Online,640295922,6647,255.28,159.42,637181.42
Central America and the Caribbean,Saint Kitts and Nevis ,Vegetables,Offline,632118403,6737,154.06,90.93,425306.81
Sub-Saharan Africa,Cote d'Ivoire,Office Supplies,Online,828245389,5071,651.21,524.96,640213.75
Sub-Saharan Africa,Botswana,Cereal,Offline,578725707,6652,205.7,117.11,589300.68
Europe,Romania,Snacks,Online,653920686,8517,152.58,97.44,469627.38
Europe,Sweden,Fruits,Online,994504153,4734,9.33,6.92,11408.94
Asia,Laos,Household,Online,261462438,1400,668.27,502.54,232022
Sub-Saharan Africa,Mauritius ,Household,Online,786094367,1647,668.27,502.54,272957.31
Europe,Czech Republic,Meat,Offline,920011270,634,421.89,364.69,36264.8
North America,Mexico,Vegetables,Offline,885136973,555,154.06,90.93,35037.15
Europe,Bosnia and Herzegovina,Vegetables,Online,523707807,5633,154.06,90.93,355611.29
Sub-Saharan Africa,Sao Tome and Principe,Household,Offline,648272597,7122,668.27,502.54,1180329.06
Europe,Belgium,Fruits,Online,791692674,8310,9.33,6.92,20027.1
Middle East and North Africa,Bahrain,Baby Food,Offline,557141864,9513,255.28,159.42,911916.18
Sub-Saharan Africa,Senegal,Household,Online,968106496,3080,668.27,502.54,510448.4
Middle East and North Africa,Bahrain,Fruits,Offline,418385398,8392,9.33,6.92,20224.72
Sub-Saharan Africa,Kenya,Fruits,Online,522089898,6858,9.33,6.92,16527.78
Sub-Saharan Africa,Guinea-Bissau,Vegetables,Online,263643825,6921,154.06,90.93,436922.73
Asia,Tajikistan,Baby Food,Offline,947783505,9056,255.28,159.42,868108.16
Middle East and North Africa,Egypt,Household,Offline,349557769,767,668.27,502.54,127114.91
Middle East and North Africa,Iran,Clothes,Offline,364327943,1589,109.28,35.84,116696.16
Sub-Saharan Africa,Kenya,Personal Care,Online,257767856,8092,81.73,56.67,202785.52
Europe,Sweden,Vegetables,Online,715863835,8872,154.06,90.93,560089.36
Europe,Albania,Cosmetics,Offline,694914710,9560,437.2,263.33,1662197.2
Sub-Saharan Africa,Togo,Baby Food,Offline,571531808,7818,255.28,159.42,749433.48
Central America and the Caribbean,Dominica,Cereal,Online,792638957,8336,205.7,117.11,738486.24
Europe,Macedonia,Baby Food,Online,525472486,7840,255.28,159.42,751542.4
Sub-Saharan Africa,Sudan,Snacks,Offline,807581222,85,152.58,97.44,4686.9
Europe,Georgia,Fruits,Online,496826493,855,9.33,6.92,2060.55
Central America and the Caribbean,El Salvador,Snacks,Online,321382129,2969,152.58,97.44,163710.66
Middle East and North Africa,United Arab Emirates,Fruits,Online,629734456,1274,9.33,6.92,3070.34
Europe,Liechtenstein,Cereal,Online,940682303,7652,205.7,117.11,677890.68
Australia and Oceania,Marshall Islands,Personal Care,Offline,393336999,6014,81.73,56.67,150710.84
Middle East and North Africa,Pakistan,Fruits,Offline,897122371,7300,9.33,6.92,17593
Europe,Norway,Fruits,Offline,381774747,4486,9.33,6.92,10811.26
Middle East and North Africa,Saudi Arabia,Baby Food,Online,447342956,7576,255.28,159.42,726235.36
Asia,Maldives,Vegetables,Online,514188325,8607,154.06,90.93,543359.91
Sub-Saharan Africa,Sierra Leone,Meat,Online,972984683,6644,421.89,364.69,380036.8
Europe,Ireland,Vegetables,Online,934718358,2789,154.06,90.93,176069.57
Sub-Saharan Africa,Madagascar,Snacks,Offline,480688178,5169,152.58,97.44,285018.66
Middle East and North Africa,Bahrain,Household,Online,212505471,3946,668.27,502.54,653970.58
Australia and Oceania,Marshall Islands,Clothes,Online,802094066,6313,109.28,35.84,463626.72
Europe,Romania,Meat,Offline,741690289,1494,421.89,364.69,85456.8
Europe,Serbia,Clothes,Offline,393842971,5742,109.28,35.84,421692.48
Central America and the Caribbean,Grenada,Snacks,Online,641413438,7345,152.58,97.44,405003.3
Sub-Saharan Africa,Rwanda,Cosmetics,Offline,637575519,1619,437.2,263.33,281495.53
Asia,Taiwan,Cosmetics,Offline,955815541,5914,437.2,263.33,1028267.18
Sub-Saharan Africa,Chad,Cereal,Online,439932334,4609,205.7,117.11,408311.31
Sub-Saharan Africa,Malawi,Baby Food,Offline,254037225,4115,255.28,159.42,394463.9
Australia and Oceania,Tonga,Cosmetics,Online,732554042,7875,437.2,263.33,1369226.25
Sub-Saharan Africa,Democratic Republic of the Congo,Office Supplies,Online,930219113,1362,651.21,524.96,171952.5
Sub-Saharan Africa,Sierra Leone,Beverages,Online,872081267,7081,47.45,31.79,110888.46
Middle East and North Africa,Iran,Office Supplies,Offline,203501832,9569,651.21,524.96,1208086.25
Sub-Saharan Africa,Guinea-Bissau,Clothes,Online,440154635,393,109.28,35.84,28861.92
Sub-Saharan Africa,Chad,Personal Care,Online,918026006,3151,81.73,56.67,78964.06
Europe,Ireland,Household,Offline,143414771,8473,668.27,502.54,1404230.29
Asia,Taiwan,Vegetables,Offline,742932260,9020,154.06,90.93,569432.6
Central America and the Caribbean,Haiti,Vegetables,Offline,913502299,4485,154.06,90.93,283138.05
Europe,Portugal,Snacks,Offline,272361218,6592,152.58,97.44,363482.88
Central America and the Caribbean,Saint Lucia,Vegetables,Offline,307057845,4095,154.06,90.93,258517.35
Asia,Japan,Beverages,Online,325453507,7780,47.45,31.79,121834.8
Sub-Saharan Africa,Zambia,Baby Food,Online,605722033,5465,255.28,159.42,523874.9
Europe,Lithuania,Vegetables,Online,146349751,6999,154.06,90.93,441846.87
Asia,Malaysia,Fruits,Online,716135489,9260,9.33,6.92,22316.6
Europe,Georgia,Meat,Offline,104190576,1162,421.89,364.69,66466.4
Asia,Laos,Baby Food,Offline,669938838,8645,255.28,159.42,828709.7
Australia and Oceania,Kiribati,Office Supplies,Offline,793116605,9683,651.21,524.96,1222478.75
Asia,Laos,Household,Offline,723772704,9282,668.27,502.54,1538305.86
Europe,Poland,Cereal,Online,332268464,4477,205.7,117.11,396617.43
Europe,Spain,Meat,Online,459277713,9336,421.89,364.69,534019.2
Europe,Romania,Fruits,Offline,665786778,9958,9.33,6.92,23998.78
Asia,Indonesia,Household,Online,583094489,9472,668.27,502.54,1569794.56
Sub-Saharan Africa,Ghana,Cereal,Offline,362812173,3039,205.7,117.11,269225.01
Central America and the Caribbean,Grenada,Snacks,Online,226863658,2853,152.58,97.44,157314.42
Europe,Latvia,Baby Food,Online,917485272,3136,255.28,159.42,300616.96
Europe,Ireland,Personal Care,Offline,547225844,5143,81.73,56.67,128883.58
Sub-Saharan Africa,Botswana,Household,Offline,448946702,2161,668.27,502.54,358142.53
Sub-Saharan Africa,Liberia,Cosmetics,Online,225821673,4506,437.2,263.33,783458.22
Asia,Uzbekistan,Beverages,Online,901337087,4529,47.45,31.79,70924.14
Europe,Switzerland,Household,Offline,869291770,1607,668.27,502.54,266328.11
Central America and the Caribbean,El Salvador,Baby Food,Offline,843797051,7153,255.28,159.42,685686.58
Europe,Romania,Clothes,Offline,709276759,9610,109.28,35.84,705758.4
Asia,Nepal,Fruits,Online,870467221,9449,9.33,6.92,22772.09
Sub-Saharan Africa,Niger,Baby Food,Online,902417266,4178,255.28,159.42,400503.08
Australia and Oceania,Kiribati,Office Supplies,Offline,900488221,3330,651.21,524.96,420412.5
Asia,Indonesia,Clothes,Online,130353915,3475,109.28,35.84,255204
Sub-Saharan Africa,Botswana,Cosmetics,Offline,178000676,3210,437.2,263.33,558122.7
Sub-Saharan Africa,Gabon,Beverages,Online,899727332,8166,47.45,31.79,127879.56
Asia,Philippines,Baby Food,Offline,872145211,6004,255.28,159.42,575543.44
Sub-Saharan Africa,Zambia,Office Supplies,Online,542178142,1415,651.21,524.96,178643.75
Europe,Albania,Beverages,Online,877062451,1124,47.45,31.79,17601.84
Sub-Saharan Africa,Burkina Faso,Personal Care,Offline,214346969,8886,81.73,56.67,222683.16
Europe,Slovenia,Baby Food,Online,111893022,486,255.28,159.42,46587.96
Europe,Slovakia,Beverages,Online,397874438,8743,47.45,31.79,136915.38
Europe,Bulgaria,Clothes,Offline,520777547,8504,109.28,35.84,624533.76
Asia,Brunei,Fruits,Offline,899401175,1649,9.33,6.92,3974.09
Europe,Vatican City,Household,Online,672856652,2091,668.27,502.54,346541.43
Middle East and North Africa,Iraq,Meat,Offline,850567805,770,421.89,364.69,44044
Middle East and North Africa,Jordan,Snacks,Online,262270963,661,152.58,97.44,36447.54
Middle East and North Africa,Bahrain,Cereal,Offline,508014953,1769,205.7,117.11,156715.71
Central America and the Caribbean,Grenada,Fruits,Offline,108161103,6129,9.33,6.92,14770.89
Europe,Kosovo,Office Supplies,Online,353383243,2809,651.21,524.96,354636.25
Europe,Croatia,Office Supplies,Offline,354667699,2908,651.21,524.96,367135
North America,Greenland,Vegetables,Offline,193313300,4556,154.06,90.93,287620.28
Asia,Thailand,Beverages,Online,470931375,7914,47.45,31.79,123933.24
North America,Canada,Snacks,Offline,959445750,173,152.58,97.44,9539.22
Asia,Nepal,Clothes,Online,151092755,559,109.28,35.84,41052.96
North America,Mexico,Fruits,Online,208421218,5325,9.33,6.92,12833.25
Europe,Switzerland,Snacks,Online,214292466,2758,152.58,97.44,152076.12
Asia,Bangladesh,Baby Food,Online,221880328,8175,255.28,159.42,783655.5
Australia and Oceania,East Timor,Beverages,Online,804671132,8924,47.45,31.79,139749.84
Central America and the Caribbean,Cuba,Cereal,Online,806463706,9387,205.7,117.11,831594.33
Middle East and North Africa,Algeria,Vegetables,Offline,491369378,5973,154.06,90.93,377075.49
Middle East and North Africa,Morocco,Cosmetics,Online,193811976,2126,437.2,263.33,369647.62
Middle East and North Africa,Qatar,Vegetables,Offline,768527829,3318,154.06,90.93,209465.34
Asia,Kyrgyzstan,Beverages,Online,440565764,2055,47.45,31.79,32181.3
Europe,Portugal,Household,Offline,655287110,2873,668.27,502.54,476142.29
Central America and the Caribbean,Barbados,Meat,Online,228365695,7339,421.89,364.69,419790.8
Europe,Liechtenstein,Baby Food,Online,295787847,9052,255.28,159.42,867724.72
Europe,Kosovo,Baby Food,Offline,263852393,8641,255.28,159.42,828326.26
Sub-Saharan Africa,Rwanda,Beverages,Offline,959170663,8769,47.45,31.79,137322.54
Europe,Russia,Fruits,Offline,578666484,9127,9.33,6.92,21996.07
Sub-Saharan Africa,Sao Tome and Principe,Vegetables,Online,539576184,1438,154.06,90.93,90780.94
Australia and Oceania,Samoa ,Household,Offline,529448592,4459,668.27,502.54,738990.07
Sub-Saharan Africa,Republic of the Congo,Vegetables,Online,756145036,8974,154.06,90.93,566528.62
Europe,Denmark,Personal Care,Offline,597839343,2802,81.73,56.67,70218.12
Australia and Oceania,Tonga,Office Supplies,Offline,853017842,5790,651.21,524.96,730987.5
Middle East and North Africa,Oman,Baby Food,Offline,590479362,4820,255.28,159.42,462045.2
Europe,Romania,Cosmetics,Offline,299335229,8801,437.2,263.33,1530229.87
Central America and the Caribbean,The Bahamas,Clothes,Online,539009273,3677,109.28,35.84,270038.88
Middle East and North Africa,Libya,Personal Care,Online,589237821,7420,81.73,56.67,185945.2
Europe,Vatican City,Vegetables,Offline,700069701,5037,154.06,90.93,317985.81
Europe,Ukraine,Household,Online,741866242,3562,668.27,502.54,590330.26
Central America and the Caribbean,Antigua and Barbuda ,Cereal,Offline,655301272,7064,205.7,117.11,625799.76
Australia and Oceania,Fiji,Beverages,Online,901361119,1640,47.45,31.79,25682.4
Europe,Bulgaria,Snacks,Offline,211344611,422,152.58,97.44,23269.08
Middle East and North Africa,Turkey,Beverages,Online,536863076,8569,47.45,31.79,134190.54
Sub-Saharan Africa,Cote d'Ivoire,Personal Care,Online,299840342,8275,81.73,56.67,207371.5
Central America and the Caribbean,Antigua and Barbuda ,Clothes,Offline,242512738,3763,109.28,35.84,276354.72
Australia and Oceania,Samoa ,Clothes,Online,277429091,6288,109.28,35.84,461790.72
Asia,Sri Lanka,Vegetables,Offline,837450730,9136,154.06,90.93,576755.68
Europe,San Marino,Personal Care,Offline,625751483,2624,81.73,56.67,65757.44
Europe,Serbia,Fruits,Online,665817677,9102,9.33,6.92,21935.82
Australia and Oceania,Australia,Fruits,Online,251448142,7948,9.33,6.92,19154.68
